image_path,caption
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/428109.jpg,A bunch of bananas with a sign stating they are free
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/23025.jpg,A girl playing a game on a laptop computer on an outdoor table.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/197329.jpg,A GROUP OF GIRAFFES AND ZEBRAS GRAZING TOGETHER
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/458827.jpg,two people riding skate boards on a city street
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/120882.jpg,A black dog is carrying a frisbee in its mouth on a beach.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/264846.jpg,Two men are standing near as the woman is playing tennis. 
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/408730.jpg,"A den with tables, couches, chairs, a lamp and pictures."
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/347665.jpg,A computer sitting on a desk with a coffee cup sitting in front of it.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/572965.jpg,A person using a skateboard on a rail.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/162769.jpg,A chef holding up carrots in his hands. 
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/497227.jpg,A teddy bear sitting in a stroller next to a painting outside. 
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/138749.jpg,A man and woman walking on the beach
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/130037.jpg,A large black bear swimming in a river next to a muddy shore.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/153888.jpg,A fighter jet sitting on top of an airport runway.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/412641.jpg,Two small slices of pie are on the plate. 
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/2244.jpg,A blue children s laptop computer sitting on top of a counter
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/195699.jpg,A group of sweet treats sitting on top of a white plate.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/157041.jpg,A zebra standing in dry grass has dark and light stripes
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/379865.jpg,a couple of people that are on a skate board
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/341219.jpg,a three year old girl with her birthday cake
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/201738.jpg,A man standing in a room with items scattered on the floor.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/158017.jpg,a bathroom with a bath tub a sink and a mirror
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/525766.jpg,a person sitting on rocks near a river with a dog
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/289644.jpg,Broccoli and chicken are cooking in a wok. 
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/134955.jpg,A desert sitting in a plate that has congratulations written in chocolate
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/315268.jpg,A piece of fish with rice and a lemon around it. 
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/452343.jpg,A long train traveling along train tracks and a few tall buildings.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/195508.jpg,"Close up of snap peas, peppers, carrots, broccoli, and more"
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/135244.jpg,A silver plane in a field with a red and black plane behind it. 
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/374916.jpg,Apples and leaves on the ground with a cat in the background.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/322562.jpg,A boat that is in a lake by some houses.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/467727.jpg,Elephant standing in front a fence next to a house.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/191327.jpg,A line of motorcycles are parked in a row ranging from vintage to rocket.
